title	genre	singers	writers	composers	lyrics
Αλεξάνδρα 1998	-	Μελίνα Κανά	Θανάσης Παπακωνσταντίνου	Θανάσης Παπακωνσταντίνου	Τα φύλλα είναι κόκκινα, φύλλα του φθινοπώρου κι η σαλαμάντρα αστραφτερή και κάλτσα του διαβόλου. Δεν τη χωράει ο Κίσσαβος, δεν τη χωράει ο τόπος κι αν της μιλάς για σύνεση χαμένος πάει ο κόπος. Αλεξάντρα, σαλαμάντρα, τι κακό είναι αυτό! Γιατί πήγες με άλλον άντρα, παλιοκόριτσο; Η σαλαμάντρα όταν κοιτά τον ουρανό να βρέχει, θυμάται την αγάπη της που πια δεν την κατέχει. Σπρώχνει το καστανόχωμα, βγαίνει από τη φωλιά της και κει που ο κάπρος πλένονταν σκορπά τα δάκρυά της. Κίτρινα φοράς και μαύρα, μες στις ομορφιές Αλεξάντρα, Αλεξάντρα πως με ξέχασες!
Αλεξανδριανή φελάχα 1934	-	Ρόζα Εσκενάζη Γιάννης Κυριαζής Ελένη Βιτάλη	Ρόζα Εσκενάζη	Δημήτρης Σέμσης	Αλεξανδριανή φελάχα πως μπερδεύτηκα. Τα αράπικα σου μάτια. Ερωτεύτηκα. Αραπίνα με γλυκαίνεις. Αχ με το γιαλέλι. Και τα χειλάκια σου. Στάζουνε μέλι. Είσαι κακούργα και δεν πονείς. Στα αλήθεια θέλεις να με τυραννείς. Αφού με βλέπεις τι τραβώ. Δεν λυπάσαι πια. Συ είσαι το όνερό μου. Φελάχα μου γλυκιά. Το Αράπικο χορεύεις. Αχ και με τρελαίνεις. Με τα τσακίσματά σου. Με μπερδεύεις. Σαν τρελός για να γυρίζω. Πες μου το γυρεύεις. Στα αλήθεια φτάνει. Και μη με παιδεύεις.
Αλήτη 1971	-	Βίκυ Μοσχολιού Χαρούλα Αλεξίου Ελευθερία Αρβανιτάκη Μαρινέλλα Γλυκερία Τάνια Τσανακλίδου	Αλέκος Καγιάντας	Γιώργος Ζαμπέτας	Στέκει στου δρόμου κάποια άκρη μοναχός θαρρείς και κρύβει τη ντροπή του στο σκοτάδι. Όμως τι φταίει αν γεννήθηκε φτωχός. Τι φταίει αυτός, αν της ζωής αν της ζωής είναι ρημάδι. Αλήτη δίχως αγάπη με δίχως μάνα και δίχως σπίτι. Αλήτη μες στη μανία του βορρά μικρό σπουργίτι. Αλήτη. Κι όμως κι αυτός ίσως μπορέσει μια φορά να βρει ένα όνειρο μια αγκάλη ένα απάγκιο να βρει δυο χέρια να του δώσουνε φτερά και τα δυο χείλη για να του δώσουνε κουράγιο. Αλήτη δίχως αγάπη.
Αλλάζω 2011	-	Γιάννης Χαρούλης	Μάρθα Βεκρή	Νότης Μαυρουδής	Θαμπό το τζάμι της σιωπής από τις ανάσες της ζωής ιδρώνει και σταλάζει. Υγρή η λύπη της καρδιάς που τη σφυρίζει ο βοριάς για ότι πονά κι αλλάζει. Φέρτε τα σύννεφα στη γη για να πνιγώ μες τη βροχή μια τέτοια νύχτα σκοτεινή που κι οι θεοί τρομάζουν. Παίξτε βιολιά στους κεραυνούς στις αστραπές και τους θυμούς το χτες που φεύγει ξεγεννά τους πόνους που με αλλάζουν. Μικρό φιτίλι της ζωής ανάβεις φως της αστραπής από της ψυχής το ρεύμα. Ηλεκτρισμένη φυλακή αυτά που ζήσαμε μαζί πληρώθηκαν στο τέρμα.
Αλο μπορντέλ 2006	-	Μπάμπης Στόκας	Μπάμπης Στόκας	Μπάμπης Στόκας	Νιώθεις ποτέ τι λέει το φεγγάρι τα βράδια που κοιτάει την πόλη. Τι λέει το ποτάμι που χαϊδεύει την πέτρα κι ο αέρας που θροΐζει τα δέντρα. Νιώθεις ποτέ τα λόγια της καρδιάς σου τα μάτια του παιδιού σαν σε κοιτάνε την επαφή του φόβου στο δέρμα όταν ο ιδρώτας γλιστράει στο κορμί σου. Νιώθεις ποτέ; Νιώθεις ποτέ τι βλέπει αυτός που βουλιάζει στης αγάπης το τέλμα, τι βλέπει ο τυφλός τι είναι εκείνο που κοιτάζει το φως όταν φτάνει στης μέρας το τέρμα. Νιώθεις ποτέ τι λένε τα όνειρά σου. Το άγγιγμά σου τα χαμόγελά σου και το δάκρυ σου που σπάει σαν γυαλί. Νιώθεις ποτέ;
Αμόνι και νερό 2007	-	Μανώλης Λιδάκης	Γιώργος Λεκάκης	Απόστολος Ξυριτάκης	Αμόνι και νερό, έτσι ήταν η αγάπη σου με έλουζε με φως, μα εγώ ήμουν σκοτεινός. Αμόνι και νερό, έτσι ήταν η αγάπη σου στο πέλαγο γυαλί, τη νύχτα ανατολή. Και χάθηκες και χάθηκα, μαράθηκες μαράθηκα πριν πούμε σε αγαπώ εμείς οι δυο. Και χάθηκες και χάθηκα σαν καραβάκια χάρτινα που πήρε η βροχή κι η ενοχή. Αμόνι και νερό, έτσι ήταν η αγάπη σου με άγγιζες εσύ μα με έλιωνε η ζωή. Αμόνι και νερό, έτσι ήταν η αγάπη σου σαν νύχτα με άγιο φως κι εγώ αμαρτωλός.
Αν αγαπάς 2018	-	Αργυρώ Καπαρού	Ηλίας Παπακωνσταντίνου	Αρετή Κοκκίνου	Για να αγαπάς θέλει πολύ μεγάλη ανδρεία πρέπει να είσαι της καρδιάς επαναστάτης, θέλει η ψυχή να μην μετρά υπεροψία να μην ακούς την λογική της αυταπάτης. Αν αγαπάς δε θα μετράς ήλιο να δίνεις δε θα κρατάς το πέλαγο ποτέ δεμένο θα περισσεύει η ψυχή που θα αφήνεις σε κάθε τι, σε κάθε τι ναυαγισμένο. Το να αγαπάς θέλει γυμνή σου την αλήθεια σκέψεις μικρές να μην κρατά ποτέ το βλέμμα, πρέπει η στιγμή να κομματιάζει την συνήθεια να αναζητάει την αλήθεια μες στο ψέμα. Αν αγαπάς δε θα μετράς ήλιο να δίνεις δε θα κρατάς το πέλαγο ποτέ δεμένο θα περισσεύει η ψυχή που θα αφήνεις σε κάθε τι, σε κάθε τι ναυαγισμένο.
Αν έχει γνωρίσει κάποιος χειρότερο ανθρωπο από τον εαυτό του 2016	-	Γιάννης Ζουγανέλης	Φωτεινή Αθερίδου	Γιάννης Ζουγανέλης	Σχώρα με Χριστούλη μου και παναγιά μου σχώρα, έχω χειρότερη ψυχή από όλη μου τη χώρα. Σχώρα με Θεούλη μου, Θεούλη μου λυπήσου μπορεί να είμαι κάθαρμα, μα είμαι κι εγώ παιδί σου. Σχωρέστε με καλέ. Θεοί κι εσύ ακόμα Βούδα γιατι θα πάω να κρεμαστώ κι εγώ σαν τον Ιούδα. Γιατί νομίζω πως αυτά που ξέρω για εμένα αυτά που έχω στο μυαλό και στην καρδιά κρυμμένα. Αυτά που ακούω εγώ τα απαγορευμένα, που ντρέπομαι που είμαι εγώ, που ντρέπομαι για μένα. Για όλα αυτά συγχωρέστε με. Τι κι αν τα έχουν κι άλλοι σε άλλα μυαλά δεν μπόρεσα, να μπω να το δω το χάλι. Κι όταν στα μάτια τους κοιτώ, ενώ δε τους γνωρίζω όλοι μου μοιάζουνε καλοί και δε τους ξεχωρίζω. Γιατί χωρίς τα μυστικά οι άνθρωποι έιναι εντάξει προδίδονται καμιά φορά μονάχα με την πράξη.
Αν ζούσαν οι αρχαίοι 1969	-	Γιάννης Καλατζής Φωνητικά - Καίτη Αμπάβη Θόδωρος Κανακάρης Τζιμ Αποστόλου	Γιώργος Μητσάκης	Γιώργος Μητσάκης	Πού είσαι, καημένε Περικλή, να βγεις να σεργιανίσεις και την Αθήνα σου να δεις και να μην τη γνωρίσεις. Πού είσαι, καημένε Περικλή, να ακούσεις μπουζουκάκι, τραγούδια και διπλοπενιές στο στέκι του Μητσάκη. Πού είσαι, Σωκράτη δάσκαλε, να δεις το Κολωνάκι, οι μαθητές σου σήμερα βαστούν κομπολογάκι. Πού είσαι, Σωκράτη δάσκαλε, να ερχόσουν από τον Άδη, παρέα με τον Πλάτωνα και τον Αλκιβιάδη. Πού είσαι, Ορφέα, μια βραδιά την άρπα σου να παίξεις, την Ευριδίκη που αγαπάς στα δίχτυα σου να μπλέξεις. Πού είσαι, Ορφέα, για να δεις συρτάκι με φιγούρα, κι οι μάγκες να σου κάνουνε χιλιάρικο χαρτούρα.
Αν θες να δεις τα θαύματα 2008	-	Μανώλης Λιδάκης	Κώστας Φασουλάς	Παντελής Θαλασσινός	Αν θες να ακούσεις τη βροχή όταν χτυπάει στα δέντρα ακούμπησε στο στήθος μου και τις πληγές μου μέτρα. Αν θες να ακούσεις κύματα όταν χτυπούν σε βράχο θυμήσου μόνο τη στιγμή που με άφησες μονάχο. Κι αν θες να δεις τα θαύματα πώς γίνονται, μικρό μου δώσε μου ξανά το σώμα σου και πάρε το δικό μου. Αν θες να δεις τον κεραυνό να γίνεται παιχνίδι θυμήσου αυτό που ζήσαμε στο πρώτο μας ταξίδι. Αν θες να δεις στα μάτια μου το δάκρυ να στερέψει φέρε μου πίσω την καρδιά που χρόνια μου έχεις κλέψει.
